time_left_game,score_diff,cate_value,tau_mean_ensemble,tau_catboost,tau_xgb,tau_lgbm,tau_std_across_models,tau_sign_agree_ratio,tau_sign_disagree,n_in_cell,cell_count,cell_count_log1p,time_cell_width,cell_density,cell_density_log1p,shown_in_figure
86.25,9.0,-0.0022062787126439,-0.0022062787126439,-0.0007746219052933,-0.004308802075684,-0.0015354121569544,0.0015188051928742,0.0,0,393,393,5.976350909297934,11.25,34.93333333333333,3.581665369806787,True
86.25,10.0,-0.0023119196606179,-0.0023119196606179,-0.0010915447492152,-0.004308802075684,-0.0015354121569544,0.0014235891503786,0.0,0,364,364,5.8998973535824915,11.25,32.355555555555554,3.507224341863142,True
97.5,-10.0,0.002245823193031,0.002245823193031,0.0034943397622555,0.002287358045578,0.0009557717712596,0.0010367821112169,1.0,0,483,483,6.182084906716632,11.25,42.93333333333333,3.782673333400297,True
97.5,-9.0,0.0010822938905524,0.0010822938905524,0.0017321138875558,0.0014090909389778,0.0001056768451235,0.0007030512529414,1.0,0,460,460,6.133398042996649,11.25,40.888888888888886,3.7350206101117913,True
97.5,-8.0,-0.0009427430535045,-0.0009427430535045,-0.0005775224999524,-0.0012079975567758,-0.0010427091037854,0.0002669202224456,0.0,0,530,530,6.274762021241939,11.25,47.111111111111114,3.8735131506662706,True
97.5,-7.0,0.0045882429306705,0.0045882429306705,0.0043096696026623,0.0059440708719193,0.00351098831743,0.0010126450525063,1.0,0,517,517,6.249975242259483,11.25,45.955555555555556,3.8492015278457368,True
97.5,-6.0,0.0030519580468535,0.0030519580468535,0.0028657633811235,0.0036200250033289,0.0026700857561081,0.0004095505532591,1.0,0,598,598,6.395261598115449,11.25,53.15555555555556,3.9918605638548863,True
97.5,-5.0,0.0032693604007363,0.0032693604007363,0.0031494440045207,0.0043422849848866,0.0023163522128015,0.0008314188097515,1.0,0,657,657,6.489204931325317,11.25,58.4,4.084294226368599,True
97.5,-4.0,0.002321859394821,0.002321859394821,0.001402266905643,0.0035234005190432,0.0020399107597768,0.0008886031082834,1.0,0,703,703,6.556778356158042,11.25,62.48888888888889,4.150864912460453,True
97.5,-3.0,0.0027856058441102,0.0027856058441102,0.0012708236463367,0.0046693379990756,0.0024166558869183,0.0014117525762037,1.0,0,727,727,6.590301048196686,11.25,64.62222222222222,4.183914391973603,True
97.5,-2.0,0.0027498640120029,0.0027498640120029,0.0011635981500148,0.0046693379990756,0.0024166558869183,0.0014504766373598,1.0,0,754,754,6.626717749249025,11.25,67.02222222222223,4.219834449175093,True
97.5,-1.0,0.0026770922510574,0.0026770922510574,0.001091054524295,0.0052935010753571,0.00164672115352,0.0018639362833555,1.0,0,747,747,6.617402977974478,11.25,66.4,4.210645017918261,True
97.5,0.0,-0.000608856556937,-0.000608856556937,-0.0018393433419987,0.0007334894035011,-0.0007207157323136,0.0010533285148885,0.3333333333333333,1,812,812,6.70073110954781,11.25,72.17777777777778,4.292891792606045,True
97.5,1.0,-0.0012141154729761,-0.0012141154729761,-0.0012121206382289,-0.0014969366602599,-0.0009332891204394,0.0002301124678799,0.0,0,658,658,6.490723534502507,11.25,58.48888888888889,4.085789553750033,True
97.5,2.0,-0.0019290790272255,-0.0019290790272255,-0.0036731646396219,-0.0011493434431031,-0.0009647289989516,0.0012355556350008,0.0,0,742,742,6.610696044717759,11.25,65.95555555555555,4.204029049359981,True
97.5,3.0,-0.0040168362514426,-0.0040168362514426,-0.0047283861786127,-0.0045851645991206,-0.0027369579765945,0.0009068974230966,0.0,0,678,678,6.520621127558696,11.25,60.266666666666666,4.115235921253477,True
97.5,4.0,-0.0001662203818947,-0.0001662203818947,0.0002344187087146,-0.001420046086423,0.0006869662320241,0.0009056338436753,0.6666666666666666,1,602,602,6.401917196727186,11.25,53.51111111111111,3.9984045544881694,True
97.5,5.0,-0.0007782574151254,-0.0007782574151254,0.0004663030267693,-0.0026931713800877,-0.0001079038920579,0.0013741906748611,0.3333333333333333,1,542,542,6.297109319933935,11.25,48.17777777777778,3.8954418502807298,True
97.5,6.0,-0.0012532905287419,-0.0012532905287419,-7.26745929569006e-05,-0.0026075586210936,-0.0010796383721753,0.001042121414115,0.0,0,568,568,6.343880434126331,11.25,50.48888888888889,3.9413660346620563,True
97.5,7.0,-0.0020136549283051,-0.0020136549283051,-0.0001565650309203,-0.0041811545379459,-0.0017032452160492,0.0016576279874391,0.0,0,467,467,6.148468295917647,11.25,41.51111111111111,3.749765479669933,True
97.5,8.0,-0.0022578687348868,-0.0022578687348868,-0.0004668019537348,-0.0041811545379459,-0.0021256497129797,0.0015192575340769,0.0,0,510,510,6.236369590203704,11.25,45.333333333333336,3.835861644462582,True
